timestamp,num_pkts,avg_ttl,median_ttl,10_percentil_ttl,25_percentil_ttl,75_percentil_ttl,90_percentil_ttl,max_ttl,min_ttl,attack,test_categorical
2055,11,106.909090909091,64,49,64,162,224,224,35,No,11
2060,15,65.3333333333333,64,47.2,64,64,85.6,100,44,Yes,15
2065,18,85.5555555555556,64,59.5,64,100,132.4,208,35,Yes,18
2070,13,96.9230769230769,64,45.6,64,64,224,224,44,No,13
2075,14,121.642857142857,64,64,64,224,224,224,35,No,14
2080,26,126.692307692308,64,47,51.25,224,255,255,44,No,26
2085,25,111.32,64,47,64,100,255,255,35,Yes,25
2090,33,80.5151515151515,64,55,55,64,192,224,44,No,33
2095,20,84.25,64,49.4,64,100,110.8,208,35,Yes,20
2100,9,119.111111111111,64,60,64,224,224,224,44,No,9
2105,18,72.3333333333333,64,38.5,64,100,100,100,35,Yes,18
2110,16,110.5,64,48,64,224,224,224,40,No,16
2115,22,113.545454545455,64,50.5,64,224,224,224,33,No,22
2120,10,126,64,62,64,224,224,224,44,No,10
2125,24,86.125,64,49,64,100,175.6,208,33,Yes,24
2130,12,70.3333333333333,64,53.2,64,73,100,100,44,Yes,12
2135,8,102.125,64,40.7,59,131,224,224,33,No,8
2140,12,101.083333333333,64,50.5,64,104,224,224,44,No,12
2145,21,115.904761904762,64,49,64,224,224,224,33,No,21
2150,18,107.222222222222,64,40.7,64,193,224,224,33,No,18
2155,40,111.8,64,64,64,207,207,220,44,Yes,40
2160,24,66.0416666666667,64,44,59,64,100,100,33,Yes,24
2165,12,129,64,64,64,224,224,224,44,No,12
2170,51,66.2941176470588,64,64,64,64,64,100,33,Yes,51
2175,32,87.90625,64,64,64,64,224,224,44,No,32
2180,20,76.05,64,51.7,64,100,100,100,44,Yes,20
2185,18,100.833333333333,64,40.7,64,172,224,224,22,No,18
2190,8,121.5,64,58,64,224,224,224,44,No,8
2195,20,102.55,64,33,59,131,224,224,33,No,20
2200,14,118.642857142857,64,53.5,64,224,224,224,44,No,14
2205,24,68.6666666666667,64,36.3,61,100,100,100,33,Yes,24
2210,20,79.2,64,64,64,100,100,100,44,Yes,20
2215,19,113.210526315789,64,48.8,64,208,224,224,33,No,19
2220,10,126,64,62,64,224,224,224,44,No,10
2225,17,68.7647058823529,64,48.8,64,64,100,100,33,Yes,17
2230,18,66.1111111111111,64,50,53.5,64,100,100,50,Yes,18
